Epoch:[398] | Avg rBpp: 0.4212667 | Avg dBpp: 0.0303929 | Avg rPSNR: 38.3237323 | Avg dPSNR: 52.1509326 | Avg rMS-SSIM: 0.9904590 | Avg dMS-SSIM: 0.9985869 | Avg Encoding Latency: 0.254227 | Avg Decoding latency: 0.349464
../experiments/nyuv2_ELIC_cpf_dec_3_3/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.2171128 | Avg dBpp: 0.0135512 | Avg rPSNR: 36.1906469 | Avg dPSNR: 48.0953057 | Avg rMS-SSIM: 0.9800610 | Avg dMS-SSIM: 0.9966689 | Avg Encoding Latency: 0.255652 | Avg Decoding latency: 0.536954
../experiments/nyuv2_ELIC_cpf_dec_3_3/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.2171128 | Avg dBpp: 0.0135512 | Avg rPSNR: 36.1906469 | Avg dPSNR: 48.0953057 | Avg rMS-SSIM: 0.9800610 | Avg dMS-SSIM: 0.9966689 | Avg Encoding Latency: 0.275604 | Avg Decoding latency: 0.522105
../experiments/nyuv2_ELIC_cpf_dec_2_2/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.1518782 | Avg dBpp: 0.0089579 | Avg rPSNR: 34.8031775 | Avg dPSNR: 45.9436255 | Avg rMS-SSIM: 0.9722908 | Avg dMS-SSIM: 0.9947567 | Avg Encoding Latency: 0.232248 | Avg Decoding latency: 0.455630
../experiments/nyuv2_ELIC_cpf_enc_sp_4_4.25/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.3227117 | Avg dBpp: 0.0318688 | Avg rPSNR: 37.8708284 | Avg dPSNR: 50.4668808 | Avg rMS-SSIM: 0.9863826 | Avg dMS-SSIM: 0.9980394 | Avg Encoding Latency: 0.253375 | Avg Decoding latency: 0.414683
../experiments/nyuv2_ELIC_cpf_enc_sp_5_5.25/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.4683711 | Avg dBpp: 0.0468484 | Avg rPSNR: 39.4487351 | Avg dPSNR: 52.3985784 | Avg rMS-SSIM: 0.9909405 | Avg dMS-SSIM: 0.9987374 | Avg Encoding Latency: 0.261246 | Avg Decoding latency: 0.417984
../experiments/nyuv2_ELIC_cpf_enc_sp_2_2.25/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.1645692 | Avg dBpp: 0.0149715 | Avg rPSNR: 35.0027491 | Avg dPSNR: 46.5369863 | Avg rMS-SSIM: 0.9729031 | Avg dMS-SSIM: 0.9954477 | Avg Encoding Latency: 0.255348 | Avg Decoding latency: 0.420250
../experiments/nyuv2_ELIC_cpf_enc_sp_3_3.25/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.2241437 | Avg dBpp: 0.0212056 | Avg rPSNR: 36.3186743 | Avg dPSNR: 48.5407637 | Avg rMS-SSIM: 0.9802920 | Avg dMS-SSIM: 0.9970244 | Avg Encoding Latency: 0.263175 | Avg Decoding latency: 0.424188
../experiments/nyuv2_ELIC_cpf_dec_5_4.75/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.4416163 | Avg dBpp: 0.0264074 | Avg rPSNR: 39.2348812 | Avg dPSNR: 51.6318916 | Avg rMS-SSIM: 0.9908108 | Avg dMS-SSIM: 0.9983335 | Avg Encoding Latency: 0.227113 | Avg Decoding latency: 0.447055
../experiments/nyuv2_ELIC_cpf_dec_4_3.75/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.3091417 | Avg dBpp: 0.0177857 | Avg rPSNR: 37.7630193 | Avg dPSNR: 49.7874297 | Avg rMS-SSIM: 0.9861235 | Avg dMS-SSIM: 0.9974532 | Avg Encoding Latency: 0.227944 | Avg Decoding latency: 0.453402
../experiments/nyuv2_ELIC_cpf_dec_3_2.75/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.2165173 | Avg dBpp: 0.0118661 | Avg rPSNR: 36.2018592 | Avg dPSNR: 47.5385367 | Avg rMS-SSIM: 0.9801217 | Avg dMS-SSIM: 0.9961318 | Avg Encoding Latency: 0.224720 | Avg Decoding latency: 0.437171
../experiments/nyuv2_ELIC_cpf_dec_2_1.75/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.1610332 | Avg dBpp: 0.0085522 | Avg rPSNR: 34.9754092 | Avg dPSNR: 45.3901142 | Avg rMS-SSIM: 0.9729084 | Avg dMS-SSIM: 0.9941803 | Avg Encoding Latency: 0.226692 | Avg Decoding latency: 0.448966
../experiments/nyuv2_ELIC_united-0.5_4_4.5/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.3021187 | Avg dBpp: 0.0217439 | Avg rPSNR: 37.8101514 | Avg dPSNR: 51.2881401 | Avg rMS-SSIM: 0.9860838 | Avg dMS-SSIM: 0.9983012 | Avg Encoding Latency: 0.263117 | Avg Decoding latency: 0.380909
../experiments/nyuv2_ELIC_united-0.5_5_5.5/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.4129136 | Avg dBpp: 0.0304431 | Avg rPSNR: 38.7352381 | Avg dPSNR: 53.0517807 | Avg rMS-SSIM: 0.9904887 | Avg dMS-SSIM: 0.9988355 | Avg Encoding Latency: 0.262870 | Avg Decoding latency: 0.378718
../experiments/nyuv2_ELIC_united-0.5_3_3.5/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.2101895 | Avg dBpp: 0.0150503 | Avg rPSNR: 36.3204204 | Avg dPSNR: 49.2926674 | Avg rMS-SSIM: 0.9799791 | Avg dMS-SSIM: 0.9974770 | Avg Encoding Latency: 0.260104 | Avg Decoding latency: 0.368319
../experiments/nyuv2_ELIC_united-0.5_2_2.5/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.1489133 | Avg dBpp: 0.0116824 | Avg rPSNR: 34.7482991 | Avg dPSNR: 46.9435560 | Avg rMS-SSIM: 0.9719795 | Avg dMS-SSIM: 0.9961440 | Avg Encoding Latency: 0.266429 | Avg Decoding latency: 0.372719
../experiments/nyuv2_ELIC_united-1_4_5/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.3023562 | Avg dBpp: 0.0245878 | Avg rPSNR: 37.8011422 | Avg dPSNR: 51.8618743 | Avg rMS-SSIM: 0.9860763 | Avg dMS-SSIM: 0.9985165 | Avg Encoding Latency: 0.261747 | Avg Decoding latency: 0.379423
../experiments/nyuv2_ELIC_united-1_5_6/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.4134393 | Avg dBpp: 0.0344261 | Avg rPSNR: 38.7495905 | Avg dPSNR: 53.5607078 | Avg rMS-SSIM: 0.9905006 | Avg dMS-SSIM: 0.9989789 | Avg Encoding Latency: 0.263646 | Avg Decoding latency: 0.379613
../experiments/nyuv2_ELIC_united-1_3_4/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.2107169 | Avg dBpp: 0.0169750 | Avg rPSNR: 36.3224596 | Avg dPSNR: 49.9396151 | Avg rMS-SSIM: 0.9800053 | Avg dMS-SSIM: 0.9978046 | Avg Encoding Latency: 0.260103 | Avg Decoding latency: 0.372835
../experiments/nyuv2_ELIC_united-1_2_3/codestream/401-padding-replicate0 Epoch:[400] | Avg rBpp: 0.1491759 | Avg dBpp: 0.0129726 | Avg rPSNR: 34.7457181 | Avg dPSNR: 47.7367748 | Avg rMS-SSIM: 0.9719929 | Avg dMS-SSIM: 0.9966410 | Avg Encoding Latency: 0.264274 | Avg Decoding latency: 0.380715
